     ?column?     | prov_cd |  substr  | count |       sum       |      sum       |       sum       |      sum      
------------------+---------+----------+-------+-----------------+----------------+-----------------+---------------
 notVo45120230204 |     451 | 20230204 | 12880 | 10193086.000000 | 3049609.000000 |  7143470.000000 |      7.000000
 notVo97120230209 |     971 | 20230209 |  4089 |  2184102.000000 |  713273.000000 |  1210028.000000 |    210.000000
 notVo73120230203 |     731 | 20230203 | 42251 | 23814029.000000 | 8634431.000000 | 14483660.000000 |     75.000000
 notVo73120230202 |     731 | 20230202 | 42264 | 24226979.000000 | 8740219.000000 | 14813956.000000 |     57.000000
 notVo97120230203 |     971 | 20230203 |  4091 |  2008837.000000 |  639646.000000 |  1117802.000000 |    173.000000
 notVo93120230203 |     931 | 20230203 |  7472 |  6834922.000000 | 2533231.000000 |  3296725.000000 |  34883.000000
 notVo89820230201 |     898 | 20230201 |  1435 |  1612851.000000 | 1589020.000000 |    23797.000000 |     34.000000
 notVo73120230207 |     731 | 20230207 | 42181 | 24821812.000000 | 9135629.000000 | 15062406.000000 |     48.000000
 notVo97120230205 |     971 | 20230205 |  4043 |  1606740.000000 |  556000.000000 |   850203.000000 |    123.000000
 notVo47120230207 |     471 | 20230207 |  6459 |  3246292.000000 | 3189353.000000 |    56925.000000 |     14.000000
 notVo35120230206 |     351 | 20230206 |  2864 |  6401949.000000 | 4013585.000000 |  2015640.000000 |     42.000000
 notVo22020230209 |     220 | 20230209 |  1170 |  5880619.000000 | 2521999.000000 |  3358600.000000 |     17.000000
 notVo22020230203 |     220 | 20230203 |  1162 |  5576767.000000 | 2329466.000000 |  3247290.000000 |      9.000000
 notVo99120230203 |     991 | 20230203 |  5270 | 11303927.000000 | 4542139.000000 |  5832619.000000 |     47.000000
 notVo31120230202 |     311 | 20230202 | 12781 | 26652061.000000 | 8641697.000000 | 17665680.000000 |    716.000000
 notVo43120230203 |     431 | 20230203 |  3859 |  9172640.000000 | 3327435.000000 |  5845148.000000 |     57.000000
 notVo45120230202 |     451 | 20230202 | 13261 | 10962426.000000 | 3388424.000000 |  7573989.000000 |     13.000000
